law_tag,Variable_Name,Average_deaths_per_capita,number_of_states_with_law,Category,Sub-Category,Brief_Description_of_Provision
danger,danger,11.29,27,Prohibitions for high-risk gun possession,Mental Health,Firearm possession is prohibited if person is deemed by court to be a danger to oneself or others
dealer,dealer,6.63,7,Dealer regulations,Licensing,State dealer license required for sale of all firearms
danger_handgun,dealerh,8.86,14,Dealer regulations,Licensing,State dealer license required for sale of handguns
dealer_registration,defactoreg,5.27,3,Buyer regulations,Registration,De facto registration of firearms is in place because of a recordkeeping requirement for all gun sales
dealer_registration_handguns,defactoregh,7.88,9,Buyer regulations,Registration,De facto registration of handguns is in place because of a recordkeeping requirement for all handgun sales
drugmisdemeanor,drugmisdemeanor,8.79,10,Prohibitions for high-risk gun possession,Drugs,Firearm possession is prohibited for people with a drug misdemeanor conviction
domestic_violence_purchase_ban,dvro,11.18,26,Domestic violence,Restraining order,State law automatically prohibits domestic violence-related restraining order (DVRO) subjects from possessing firearms
domestic_violence_dating,dvrodating,9.86,16,Domestic violence,Restraining order,DVROs are automatically prohibiting if the subject is a dating partner of the petitioner
domestic_violence_removal,dvroremoval,6.3,3,Domestic violence,Restraining order,Law enforcement officials are required to remove firearms from people subject to a domestic violence-related restraining order
domestic_violence_surrender,dvrosurrender,9.33,15,Domestic violence,Restraining order,State law requires DVRO subjects to surrender their firearms
domestic_violence_surrenderdating,dvrosurrenderdating,8.22,11,Domestic violence,Restraining order,The surrender provisions apply if the subject is a dating partner of the petitioner
domestic_violence_surrendernoconditions,dvrosurrendernoconditions,9.37,13,Domestic violence,Restraining order,No additional finding is required before the firearm surrender provisions apply
elementary_school_campas_ban,elementary,12.71,33,Possession regulations,School zones,"No gun carrying on elementary school property, including concealed weapons permittees"
domestic_violence_exparte_,exparte,8.88,10,Domestic violence,Restraining order,Ex parte (temporary) DVRO subjects are automatically prohibited from possessing firearms
domestic_violence_exparte_dating,expartedating,8.87,9,Domestic violence,Restraining order,Ex parte DVROs are prohibiting if the petitioner is a dating partner of the DVRO subject
domestic_violence_exparte_surrender,expartesurrender,7.4,8,Domestic violence,Restraining order,State law requires ex parte DVRO subjects to surrender their firearms
domestic_violence_exparte_surrenderdating,expartesurrenderdating,7.17,7,Domestic violence,Restraining order,The ex parte DVRO surrender provisions apply if the subject is a dating partner of the petitioner
domestic_violence_exparte_surrendernoconditions,expartesurrendernoconditions,7.17,7,Domestic violence,Restraining order,No additional finding is required before the ex parte DVRO firearm surrender provisions apply
fingerprint,fingerprint,7.91,9,Buyer regulations,Fingerprinting,Buyers must be fingerprinted at point of purchase
gunshow,gunshow,8.77,9,Background checks,Gun shows,Background checks required for all gun show firearm sales at point of purchase
gunshow_handgun,gunshowh,9.34,11,Background checks,Gun shows,Background checks required for gun show handgun sales at point of purchase
gun_violence_restraining_order,gvro,8.45,2,Possession regulations,Gun violence restraining orders,Family members or law enforcement officers can confiscate firearms from any person who is deemed by a judge to represent a threat to themselves or others
gun_violence_restraining_order_lawenforcement,gvrolawenforcement,9.12,4,Possession regulations,Gun violence restraining orders,Law enforcement officers can confiscate firearms from any person who is deemed by a judge to represent a threat to themselves or others
no_blanket_immunity,immunity,9.05,17,Immunity,Immunity,No law provides blanket immunity to gun manufacturers or prohibits state or local lawsuits against gun manufacturers
