incident_id,year,state,deaths,injuries
1652874,2020,Pennsylvania,1,0
1652594,2020,Indiana,1,0
1653599,2020,Arkansas,1,0
1651203,2020,Illinois,1,0
1657394,2020,Georgia,1,1
1677795,2020,Florida,1,0
1664439,2020,Texas,1,0
1665078,2020,Georgia,1,0
1675981,2020,Texas,1,0
1683808,2020,South Carolina,1,0
1683782,2020,Oregon,1,0
1656735,2020,Florida,1,1
1705419,2020,Kansas,1,0
1749703,2020,Tennessee,1,0
1657697,2020,New York,1,0
1679922,2020,Missouri,1,0
1685388,2020,Ohio,1,0
1663572,2020,Colorado,1,0
1663445,2020,Texas,1,0
1663620,2020,Pennsylvania,1,0
1662919,2020,Texas,1,0
1662711,2020,Texas,1,0
1662407,2020,Kentucky,1,0
1705785,2020,Florida,1,0
1661188,2020,California,1,2
1660535,2020,Texas,1,0
1660305,2020,Texas,1,0
1658897,2020,Louisiana,1,0
1658455,2020,Ohio,2,0
1664609,2020,Florida,1,0
1657017,2020,Tennessee,1,0
1681289,2020,Tennessee,1,0
1604307,2020,Georgia,1,0
1681915,2020,Ohio,1,0
1586238,2020,Maryland,1,0
1585741,2020,Ohio,1,0
1831662,2020,California,1,0
1594264,2020,North Carolina,1,0
1648472,2020,Alabama,1,0
1604701,2020,Arizona,1,0
1620311,2020,Nebraska,1,0
1620365,2020,Minnesota,1,0
1619553,2020,Louisiana,1,0
1617744,2020,Pennsylvania,1,0
1616601,2020,New Jersey,1,0
1616774,2020,Louisiana,1,0
1616720,2020,California,1,0
1615948,2020,South Carolina,1,1
2084581,2020,Kentucky,1,0
1585419,2020,Texas,1,0
1614953,2020,Michigan,1,0
1585503,2020,Virginia,1,0
1585484,2020,Virginia,1,0
1601442,2020,Indiana,1,1
1675847,2020,Texas,1,0
1598980,2020,Texas,1,0
1600521,2020,Georgia,1,0
1602470,2020,California,1,0
1597263,2020,Massachusetts,1,0
1596276,2020,Texas,1,0
1596266,2020,Florida,1,0
1603395,2020,Texas,1,0
1594045,2020,California,1,0
1592355,2020,Kentucky,1,0
1589541,2020,Maryland,1,0
1589132,2020,Missouri,1,0
1588858,2020,Tennessee,1,0
1588530,2020,Maryland,1,0
1586315,2020,South Carolina,2,0
1681458,2020,Illinois,1,0
1614650,2020,Wisconsin,1,0
1603720,2020,Louisiana,1,0
1691205,2020,Texas,1,0
1692235,2020,Georgia,1,0
1689331,2020,Pennsylvania,1,0
1689086,2020,North Carolina,1,0
1688194,2020,Texas,1,0
1687467,2020,Tennessee,1,0
1688148,2020,Alabama,1,0
1686791,2020,Missouri,1,0
1687191,2020,Iowa,1,0
1687075,2020,Indiana,1,0
1694270,2020,Mississippi,1,0
1684673,2020,Illinois,1,0
1684670,2020,Florida,1,0
1684691,2020,Georgia,1,0
1682432,2020,Michigan,1,0
1690458,2020,Nevada,1,0
1612411,2020,Alabama,1,0
1691586,2020,Texas,1,0
1649813,2020,Indiana,1,0
1613176,2020,Ohio,1,0
1612699,2020,Ohio,1,0
1611420,2020,Virginia,1,0
1611651,2020,Tennessee,1,0
1611369,2020,Texas,1,0
1609445,2020,Pennsylvania,1,0
1609952,2020,Alabama,1,0
1609115,2020,North Carolina,1,0
1608944,2020,Washington,1,0
1605978,2020,Ohio,1,0
1607335,2020,Ohio,1,0
1605309,2020,Louisiana,1,0
1605571,2020,Ohio,1,0
1613427,2020,South Carolina,1,0
1649610,2020,Oklahoma,1,0
1650592,2020,Georgia,1,0
1677427,2020,Missouri,1,0
1839242,2020,Michigan,1,0
1675912,2020,Florida,1,0
1844038,2020,Florida,1,0
1842790,2020,Virginia,1,0
1842777,2020,Michigan,1,0
1838938,2020,Texas,1,0
1838373,2020,North Carolina,1,0
1846749,2020,Texas,1,0
1837937,2020,Georgia,1,0
1837582,2020,Kansas,1,0
1837698,2020,Florida,2,2
1840610,2020,Texas,1,0
1835068,2020,Nebraska,1,0
1834122,2020,Kentucky,1,0
1835483,2020,Texas,1,0
1834097,2020,Texas,1,0
1834445,2020,Kentucky,1,0
1844027,2020,Florida,1,0
1889292,2020,Michigan,1,0
1844709,2020,Oklahoma,1,0
1846147,2020,Kansas,1,0
1881623,2020,Arkansas,1,0
1888011,2020,Texas,1,0
1880857,2020,Missouri,1,0
1879819,2020,Ohio,1,0
1879827,2020,Nevada,1,0
1878745,2020,Indiana,1,0
1879707,2020,Idaho,1,0
1883991,2020,Texas,1,0
1866891,2020,Texas,1,0
1877224,2020,Florida,1,0
1861606,2020,Tennessee,1,0
1846012,2020,New York,1,0
1846163,2020,Utah,1,1
1845637,2020,Georgia,1,0
1845477,2020,Louisiana,2,2
1845659,2020,South Carolina,1,0
