State,Year,Gini-Indx,PopDens,Pov.%,GnLwRnk (Low is strict),Pop.,StateSqMi,AllVlntCrm,AllMrdr,GunHom.Rate100k,RapeRvsd,RapeLgcy,Robbery,AggvtdAsslt,MassShoot,MassShoot100k,MasShootY,FirearmSuic,AllSuic,House%OwnGuns,PolicKilledGun,PoliceKilledGun100k,NumOfPoliceOfficers,PoliceOfficers100k,GunRnkCATO,GunRnkEvryTwn,GunRnkAVG,PrcntBlck,PrcntHispORLat,PrtyRepub.,PrtyDemoc.,AlchlPerCap,MntlHlthRnk,PrcntHSchl,PrcntBchlr,RdntHntLic,RdntHntLic100k,GunShow100k,PrcntPopVet,PrcntPopUrbn,PrcntEvang.,CntryV.Rck,B5E,B5A,B5C,B5N,B5O,IATScore,UnHyphAm.,PrcntUnHyphAm.,PrcntConsrv,FxNwsCnsmp.,HnrCultr,CensS,CensNE,CensMW,CensW,MnMrdrWmn
Pennsylvania,2014,0.469,285.3205034,12.5,13,12787209,44817,314.1,4.8,3.64,29.9,21.8,105.8,173.5,8,0.06256251853,1,7.01,14.2,49.37,1,0.007820314816,24611,192.4657679,20,36,28,10.9,6.1,39,46,2.34,9,89,28.1,2564210,20052.92945,1.15,7,78.66,19,3,54.6,42.8,52.4,61.4,49.6,0.417,597679,4.674037939,37.1,5,0,0,1,0,0,1.1
Rhode Island,2014,0.483,1009.734928,11.3,9,1055173,1045,219.2,2.4,1.23,34.2,24,50.1,132.5,1,0.09477118918,1,1.9,10.71,17.74,0,0,2497,236.6436594,48,35,41.5,6.3,13.3,30,48,2.39,36,85.4,31.4,7606,720.8296649,0.61,7,90.73,14,1,43.3,35.2,48.5,61.9,59.4,0.404,24703,2.341132686,33.8,1,0,0,1,0,0,0.37
South Carolina,2014,0.469,160.4942544,16.5,34,4832482,30110,497.7,6.4,5.51,42.8,30.6,82.7,365.8,7,0.1448531003,1,9.92,15.59,63.63,1,0.02069330005,9552,197.6624021,25,24,24.5,27.6,5.3,43,39,2.28,37,85,25.3,368894,7633.634228,0.73,9,66.33,35,6,60,55.4,69.6,45.7,55.3,0.454,580148,12.00517664,45.1,7,1,1,0,0,0,1.73
South Dakota,2014,0.447,11.24299928,12.8,43,853175,75885,326.5,2.3,0,55.1,48.4,23.4,245.7,1,0.1172092478,1,8.91,16.52,53.93,0,0,1669,195.6222346,6,9,7.5,1.5,3.2,53,37,2.73,4,90.7,26.7,273746,32085.56275,2.74,9,56.65,25,8,58.7,56.7,55.8,36.1,41.9,0.382,29936,3.508776042,42.7,1,0,0,0,1,0,1.65
Tennessee,2014,0.481,158.8992891,17.3,34,6549352,41217,608.4,5.7,4.81,38.6,28.4,110.9,453.2,13,0.1984929196,1,9.84,15.23,64.61,0,0,16774,256.116941,10,39,24.5,16.8,4.8,48,36,2.01,41,84.9,24.4,686146,10476.54791,1.36,8,66.39,52,7,51.3,66.6,62,49,50.1,0.421,1049247,16.02062311,44.9,7,1,1,0,0,0,1.58
Texas,2014,0.483,102.9689339,16.4,29,26956958,261797,405.9,4.4,3.58,42.3,30.6,115.7,243.6,14,0.05193464337,1,6.63,12.06,54.98,5,0.01854808692,38512,142.8647847,31,27,29,11.9,38.2,39,40,2.23,32,81.6,27.1,1383735,5133.12741,1.08,6,84.7,31,6,55.2,52.3,54.4,44.3,52.7,0.416,1344394,4.987187353,40.5,6,1,1,0,0,0,1.44
Utah,2014,0.428,35.82613459,10.2,38,2942902,82144,215.6,2.3,1.22,49.4,32.1,44.6,119.4,2,0.06796012915,1,9.44,18.98,49.74,1,0.03398006458,4879,165.7887351,21,33,27,1.1,13.3,54,30,1.36,40,91,30.6,336106,11420.90358,0.43,5,90.58,7,6,55.8,69.4,54.5,30.4,47.7,0.365,166961,5.673345562,46.9,4,1,0,0,0,1,0.96
Vermont,2014,0.441,67.73643243,9.3,41,626562,9250,99.3,1.6,0,17.6,15.8,11.2,68.9,0,0,0,9.41,19.78,47.57,0,0,1194,190.5637431,1,8,4.5,1,1.6,29,57,3.05,3,91.6,35.2,154025,24582.56326,0.51,8,38.9,11,4,26.5,60,38.2,55.8,54.2,0.384,45848,7.317392373,26.8,1,0,0,1,0,0,0.94
Virginia,2014,0.466,210.2916856,10.2,20,8326289,39594,196.2,4.1,2.82,27.7,17.2,51.5,112.9,8,0.09608121938,1,7.52,13.48,55.79,2,0.02402030484,18858,226.4874544,11,32,21.5,19.3,8.4,43,39,2.11,38,87.9,35.8,774742,9304.769508,0.93,10,75.45,30,6,48.5,47.4,45.3,44.7,57.1,0.417,863822,10.37463389,37,5,1,1,0,0,0,1.23
Washington,2014,0.454,105.9589761,12,11,7061530,66644,285.2,2.5,1.7,38.2,30.7,79.9,164.7,3,0.04248371104,1,7.8,15.84,49.24,0,0,10311,146.0165148,19,36,27.5,3.6,11.7,33,44,2.25,30,90.2,32.3,657978,9317.782407,0.74,9,84.05,25,4,30.6,55.8,45,36.9,56.6,0.365,305537,4.326781873,34.3,4,1,0,0,0,1,0.96
